date_of_sale,address,postal_code,county,price,not_full_market_price,vat_exclusive,description_of_property,property_size_description
01/01/2010,"5 Braemor Drive, Churchtown, Co.Dublin",,Dublin,343000,No,No,Second-Hand Dwelling house /Apartment,
03/01/2010,"134 Ashewood Walk, Summerhill Lane, Portlaoise",,Laois,185000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2010,"1 Meadow Avenue, Dundrum, Dublin 14",,Dublin,438500,No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"1 The Haven, Mornington",,Meath,400000,No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"11 Melville Heights, Kilkenny",,Kilkenny,160000,No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"12 Sallymount Avenue, Ranelagh",,Dublin,425000,No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"13  Oakleigh Wood, Dooradoyle, Limerick",,Limerick,172500,No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"13 The Drive, Chapelstown Gate, Tullow Road",,Carlow,177500,No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"15 Carriglawn, Waterpark, Carrigaline",,Cork,180000,No,No,Second-Hand Dwelling house /Apartment,
04/01/2010,"15a Moore Bay, Kilkee",,Clare,126500,No,No,Second-Hand Dwelling house /Apartment,
